ID_REF	GSM177105	GSM177106	GSM177107	GSM177108	GSM177109	GSM177110	GSM177111	GSM177112	GSM177113	GSM177114	GSM177118	GSM177115	GSM177116	GSM177117
appB	83.86517785	38.21322199	86.82267696	80.78413006	122.4458442	171.7302048	63.55791971	183.5462717	108.8350925	54.19169999	50.45761114	63.20645513	103.6804446	128.7117543
appC	91.01295428	36.30257552	103.5368126	72.00374302	174.3690284	186.4958866	75.68838402	330.6130817	91.01295428	99.11283557	82.94022179	89.3254889	112.5170638	156.7150582
appD	117.0515315	101.2655746	175.3386214	52.34573175	175.2171281	200.7143562	95.2072808	128.1775687	103.0356656	410.7167572	91.20240731	237.2065438	110.8911176	149.707221
appF	796.7592208	554.4832233	497.6542658	242.3586896	424.9060278	505.6516411	363.0438491	439.5855035	703.7894121	946.1991142	480.3692526	917.7771004	427.861483	537.8276065
aprE	77.38596325	42.04901207	159.3439021	116.0015281	204.6478926	190.1507738	108.6090114	237.8651326	163.823669	193.4745508	174.006815	118.4389668	182.278425	175.5818609
aprX	19.44058867	17.4360338	66.69469007	56.68912122	71.80438275	66.25695513	31.62514085	132.5139103	59.21948339	58.97370792	54.94818793	36.02683476	70.08335813	67.04231213
apt	116.6465639	477.3818811	4451.265997	4423.583989	5063.783469	4793.952835	4386.942252	2445.646207	3015.120614	2574.363391	3297.1413	3169.413107	3193.671035	3008.857361
araA	173.1645736	48.16789592	225.8153895	80.05946113	128.9796813	211.7179823	98.49646209	213.338421	95.07538692	177.0484005	122.7007281	145.6134692	117.8656892	164.8488486
araB	68.21419111	40.36407708	94.58241016	36.58042673	74.90551305	110.1251367	55.52247598	146.4231646	61.94860972	52.02019853	29.36447623	52.09236384	59.21948339	90.00916479
araD	56.96484693	42.75437051	45.47494538	9.29851286	90.00916479	56.64984093	5.779721592	131.7811307	53.81737058	30.37894787	42.9325512	28.68053439	57.28160454	76.47943711
araE	491.1432291	381.0931853	291.6309446	203.2342863	225.0341276	339.9078805	201.6905948	421.6786008	553.7150789	429.6446142	372.475055	428.7521216	363.2955792	377.4129196
araL	48.53656145	39.72567973	35.92708551	27.30323514	57.16261455	79.78247643	35.4324667	181.8997815	73.31314547	65.16385278	50.21338227	50.14381996	78.24897777	100.5660821
araM	70.37543356	43.32116093	66.37186922	18.68747831	121.4315923	82.36731183	29.34412938	201.411186	72.00374302	93.18333114	51.05569535	45.16082699	80.44885597	87.36599794
araN	117.4579049	85.56803171	171.1953849	155.5247094	228.333701	256.1775072	193.206524	258.4963322	196.3113804	294.6789098	219.6404558	195.7678436	212.1586955	204.081274
araP	261.3791042	158.4627572	154.4504217	100.0793143	216.1666272	233.4548904	114.5632091	236.2220781	218.7288937	299.2069756	246.0827977	247.2797002	207.3608892	218.1232883
araQ	402.2643285	261.7417038	291.2269383	204.7897929	298.1717981	331.990926	201.411186	399.7626842	570.4671492	403.9407825	228.4920247	447.2693227	290.2193697	309.7584868
araR	69.74413518	61.94860972	199.4661324	152.1130374	198.3631183	307.1926739	207.5046707	418.1857234	273.6143338	327.8745245	316.0480274	283.6562811	303.8046202	346.5692874
arfM	54.75808164	34.67923094	64.71373317	33.94200772	103.9683067	94.09198953	40.64483144	151.271878	52.60033199	68.73628618	82.31023894	67.13531696	67.83697814	80.67221706
argB	65.02848915	41.26938402	257.4235086	85.33111533	102.040637	169.2485895	128.2664455	309.543853	248.1381931	224.2555687	163.7101544	176.4358596	189.4929021	245.5716145
argC	71.16026608	89.38742608	453.5129698	207.5046707	163.4833612	282.6749049	222.0899039	331.7608872	253.352104	271.9127517	229.6033689	264.4772832	229.762573	229.6033689
argD	67.08879843	50.2481996	101.4763695	36.75834736	55.13895422	108.4585517	53.74281555	183.4190912	115.8408272	131.5073842	54.79605021	61.64876122	81.96863113	113.2211757
argF	82.48157635	49.00985591	149.9149032	108.3834	147.0333894	164.8488486	92.09174912	184.3112088	123.8113702	71.16026608	86.64232186	77.76235468	111.7398517	128.4443838
argG	77.27875786	495.9325129	1648.57065	410.7167572	284.4438345	262.2865467	170.6622307	524.9368258	232.1639242	224.4110647	219.3361804	178.8988124	188.5757038	182.278425
argH	68.26148997	258.1382285	1483.716766	367.8566852	188.1839791	183.2919989	161.5682601	263.3796372	175.5818609	134.4569016	119.0975562	143.3104497	141.9264824	134.3637355
argJ	88.83153402	82.9977315	401.4287125	108.2332528	104.1847277	150.53968	78.6840875	243.7063446	119.262775	112.1277843	78.62956675	101.9699323	190.019017	155.8484504
